JANUARY 1|Our Lord and God and Saviour Jesus Christ, Whose Circumcision in the flesh we celebrate.|1
JANUARY 1|Our Father among the Saints Basil the Great, Archbishop of Caesarea in Cappadocia.|0
JANUARY 1|The Holy Martyr Theodotus.|0
JANUARY 1|Saint Gregory, Bishop ofNazianzus, father of Saint Gre-gory the Theologian.|0
JANUARY 1|Our righteous FatherTheodosius, Abbot of Triglia.|0
JANUARY 1|The Holy New Martyr Peter of Tripoli in the Peloponnesus.|0
JANUARY 1|Our righteous Father Oyend, Abbot of Condat in the Jura Mountains.|0
JANUARY 1|Our Father among the Saints Felix, Bishop of Bourges.|0
JANUARY 1|The Holy New Martyr Basil the Youth, of Stavropol.|0
JANUARY 2|Our Father among the Saints Sylvester, Pope of Rome.|1
JANUARY 2|Our righteous Father Seraphim, Wonderworker ofSarov.|0
JANUARY 2|The Holy HieromartyrTheagenes of Parium.|0
JANUARY 2|Our righteous FatherTheopemptus.|0
JANUARY 2|SaintTheodota, mother of the Holy Unmercenaries Cosmas and Damian of Asia.|0
JANUARY 2|Our righteous Father Mark the Deaf.|0
JANUARY 2|The Holy Martyr Basil of Ancyra.|0
JANUARY 2|The Holy Martyr Sergius.|0
JANUARY 2|The Holy Martyr Theopistus.|0
JANUARY 2|Our righteous Father Cosmas the Wonderworker, Archbishop of Constantinople.|0
JANUARY 2|The Holy New Martyr George of Georgia, who was martyred in Mytilene.|0
JANUARY 2|Our righteous Father Munchin, Bishop of Limerick.|0
JANUARY 2|Saint Juliana ofLazarevo.|0
JANUARY 2|Our righteous Father Sylvester of the Kiev Caves.|0
JANUARY 2|The Holy New Hieromartyrs Sylvester, Archbishop of Omsk, and Seraphim, Bishop of Elutorov.|0
JANUARY 3|The Holy Prophet Malachias.|1
JANUARY 3|The Holy Martyr Gordius of Caesarea in Cappadocia.|0
JANUARY 3|Our righteous Father Peter of Atroa, the Worker of Signs.|0
JANUARY 3|A Mother and her Two Children who were burned alive.|0
JANUARY 3|Saint Thomais the Wonderworker of Lesbos.|0
JANUARY 3|Our righteous Mother Genevieve of Paris.|0
JANUARY 4|The Holy and glorious Seventy Apostles, whose Synaxis we celebrate.|1
JANUARY 4|Our righteous Father Theoctistus, Abbot of Cucomo in Sicily.|0
JANUARY 4|The Holy Six Martyrs.|0
JANUARY 4|The Holy Martyrs Zosimas the Monk of Cilicia and Athanasius the Superintendent of Prisons.|0
JANUARY 4|Our righteous Mother Apollinaria, who was of senatorial rank.|0
JANUARY 4|The Holy Martyrs Chrysanthus and Euphemia.|0
JANUARY 4|The Righteous Martyrs Euthymius, Abbot of Vatopedi, and I 2 Monks with him, who censured the Latin-minded|0
JANUARY 4|Emperor Michael Paleologus and John Beccus the Ecumenical Patriarch.|0
JANUARY 4|Our righteous Father Euthymius the New.|0
JANUARY 4|The Holy New Righteous Martyr Onuphrius of Chios.|0
JANUARY 4|Our righteous Father Menas of The Ladder.|0
JANUARY 4|Saint Gregory, Bishop of Langres, great-grandfather of|0
JANUARY 4|Saint Gregory of Tours.|0
JANUARY 4|Saint Eustathius the First, Archbishop of Serbia.|0
JANUARY 4|Our righteous Father Achillas the Hierodeacon of the Kiev Caves.|0
JANUARY 4|The Holy 70 New Priest Martyrs of the Kharkov Province.|0
JANUARY 5|The Holy Martyrs Theopernptus the Bishop and Theonas.|1
JANUARY 5|Our righteous Mother Syncletike of Alexandria.|0
JANUARY 5|Our righteous Father Gregory of Acritas in Bithynia.|0
JANUARY 5|Our righteous Father Phosterius.|0
JANUARY 5|The Holy Martyr Sai's.|0
