The Resurrection of Christ, the Passover (Pascha) of the Lord:  Easter	 	Ac 1.1-8	Jn 1.1-17
Bright Monday	 	Ac 1.12-17; 1.21-26	Jn 1.18-28
Bright Tuesday	 	Ac 2.14-21	Lk 24.12-35
Bright Wednesday	 	Ac 2.22-36	Jn 1.35-51
Bright Thursday	 	Ac 2.38-43	Jn 3.1-15
Bright Friday	 	Ac 3.1-8	Jn 2.12-22
The Life-Giving Spring of the Most Holy Theotokos	 	Php 2.5-11	Lk 10.38-42; 11.27-28
Bright Saturday	 	Ac 3.11-16	Jn 3.22-33
Second Sunday of Pascha:  Thomas Sunday	 	Ac 5.12-20	Jn 20.19-31
Monday	 	Ac 3.19-26	Jn 2.1-11
Tuesday	 	Ac 4.1-10	Jn 3.16-21
Commemoration of the Departed	 	1Cor 15.39-57	Jn 5.24-30
Wednesday	 	Ac 4.13-22	Jn 5.17-24
Thursday	 	Ac 4.23-31	Jn 5.24-30
Friday	 	Ac 5.1-11	Jn 5.30-6.2
Saturday	 	Ac 5.21-33	Jn 6.14-27
Third Sunday of Pascha:  Sunday of the Myrrhbearing Women and Sunday of Joseph of Arimathea and Nicodemus	 	Ac 6.17	Mk 15.43-16.8
Monday	 	Ac 6.8-7.5; 7.47-60	Jn 4.46-54
Tuesday	 	Ac 8.5-17	Jn 6.27-33
Wednesday	 	Ac 8.18-25	Jn 6.35-39
Thursday	 	Ac 8.26-39	Jn 6.40-44
Friday	 	Ac 8.40-9.19	Jn 6.48-54
Saturday	 	Ac 9.19-31	Jn 15.17-16.2
Fourth Sunday of Pascha:  Sunday of the Paralytic	 	Ac 9.32-42	Jn 5.1-15
Monday	 	Ac 10.1-16  Jn 6.56-69
Tuesday	 	Ac 10.21-33	Jn 7.1-13
Wednesday	 	Ac 14.6-18	Jn 7.14-30
Thursday	 	Ac 10.34-43	Jn 8.12-20
Friday	 	Ac 10.44-11.10	Jn 8.21-30
Saturday	 	Ac 12.1-11	Jn 8.31-42
Fifth Sunday of Pascha:  Sunday of the Samaritan Woman	 	Ac 11.19-26; 11.29-30	Jn 4.5-42
Monday	 	Ac 12.12-17	Jn 8.42-51
Tuesday	 	Ac 12.25-13.12	Jn 8.51-59
Wednesday	 	Ac 13.13-24	Jn 6.5-14
Thursday	 	Ac 14.20-27	Jn 9.39-10.9
Friday	 	Ac 15.5-34	Jn 10.17-28
Saturday	 	Ac 15.35-41	Jn 10.27-38
Sixth Sunday of Pascha:  Sunday of the Blind Man	 	Ac 16.16-34	Jn 9.1-38
Monday	 	Ac 17.1-15	Jn 11.47-57
Tuesday	 	Ac 17.19-28	Jn 12.19-36
Wednesday	 	Ac 18.22-28	Jn 12.36-47
Thursday:  The Ascension of Our Lord
   Vespers	Isa 2.1-3;Isa 62.10-63.9;Zech 14.1, 4, 8-11
   Matins	 	 	Mk 16.9-20
   Liturgy	 	Ac 1.1-12	Lk 24.36-53
Friday	 	Ac 19.1-8	Jn 14.1-11
Saturday	 	Ac 20.7-12	Jn 14.10-21
Seventh Sunday of Pascha:  Sunday of the Fathers of the First Ecumenical Council	 	Ac 20.16-18, 28-36	Jn 17.1-13
Seventh Week of Pascha
Monday	 	Ac 21.8-14	Jn 14.27-15.7
Tuesday	 	Ac 21.26-32	Jn 16.2-13
Wednesday	 	Ac 23.1-11	Jn 16.15-23
Thursday	 	Ac 25.13-19	Jn 16.23-33
Friday	 	Ac 27.1-44
Saturday	 	Ac 28.1-31	Jn 21.15-25
Sunday of Pentecost:  Trinity Sunday.  Descent of the Holy Spirit on the Disciples
   Vespers	Num 11.16, 17, 24-29;   Joel 2.23-32;   Ezk 36.24-28
   Matins		Jn 20.19-23
   Liturgy		Ac 2.1-11	 Jn 7.37-52; 8.12
Monday:  Day of the Holy Spirit	 	Eph 5.9-19	Mt 18.10-20
Tuesday	 	Rom 1.1-7, 13-17	Mt 4.25-5.13
Wednesday	 	Rom 1.18-27	Mt 5.20-26
Thursday	 	Rom 1.28-2.9	Mt 5.27-32
Friday	 	Rom 2.14-29	Mt 5.33-41
Saturday	 	Rom 1.7-12	Mt 5.42-48
First Sunday after Pentecost:  Sunday of All Saints
   Vespers	Isa 43.9-14;Wis 3.1-9;Wis 5.15-6.3
   Liturgy	 	Heb 11.33-12.2	Mt 10.32, 33, 37, 38; 19.27-30
Monday	 	Rom 2.28-3.18	Mt 6.31-34; 7.9-11
Tuesday	 	Rom 4.4-12	Mt 7.15-21
Wednesday	 	Rom 4.13-25	Mt 7.21-23
Thursday	 	Rom 5.10-16	Mt 8.23-27
Friday	 	Rom 5.17-6.2	Mt 9.14-17
Saturday	 	Rom 3.19-26	Mt 7.1-8
Second Sunday after Pentecost:  Liturgy	 	Rom 2.10-16	Mt 4.18-23
Monday	 	Rom 7.1-13	Mt 9.36-10.8
Tuesday	 	Rom 7.14-8.2	Mt 10.9-15
Wednesday	 	Rom 8.1-13	Mt 10.16-22
Thursday	 	Rom 8.22-27	Mt 10.23-31
Friday	 	Rom 9.6-19	Mt 10.32-36; 11.1
Saturday	 	Rom 3.28-4.3	Mt 7.24-8.4
Third Sunday after Pentecost:  Liturgy	 	Rom 5.1-10	Mt 6.22-33
Monday	 	Rom 9.18-33	Mt 11.2-15
Tuesday	 	Rom 10.11-11.2	Mt 11.16-20
Wednesday	 	Rom 11.2-12	Mt 11.20-26
Thursday	 	Rom 11.13-24	Mt 11.27-30
Friday	 	Rom 11.25-36	Mt 12.1-8
Saturday	 	Rom 6.11-17	Mt 8.14-23
Fourth Sunday after Pentecost:  Sunday of the Holy Fathers of the First Six Ecumenical Councils (July 13-19):  Liturgy	 	Rom 6.18-23	Mt 8.5-13
Monday	 	Rom 12.4, 5, 15-21	Mt 12.9-13
Tuesday	 	Rom 14.9-18	Mt 12.14-16, 22-30
Wednesday	 	Rom 15.7-16	Mt 12.38-45
Thursday	 	Rom 15.17-29	Mt 12.46-13.3
Friday	 	Rom 16.1-16	Mt 13.4-9
Saturday	 	Rom 8.14-21	Mt 9.9-13
Fifth Sunday after Pentecost:  Liturgy	 	Rom 10.1-10	Mt 8.28-9.1
Monday	 	Rom 16.17-24	Mt 13.10-23
Tuesday	 	1Cor 1.1-9	Mt 13.24-30
Wednesday	 	1Cor 2.9-3.8	Mt 13.31-36
Thursday	 	1Cor 3.18-23	Mt 13.36-43
Friday	 	1Cor 4.5-8	Mt 13.44-54
Saturday	 	Rom 9.1-5	Mt 9.18-26
Sixth Sunday after Pentecost:  Liturgy	 	Rom 12.6-14	Mt 9.1-8
Monday	 	1Cor 5.9-6.11	Mt 13.54-58
Tuesday	 	1Cor 6.20-7.12	Mt 14.1-13
Wednesday	 	1Cor 7.12-24	Mt 14.35-15.11
Thursday	 	1Cor 7.24-35	Mt 15.12-21
Friday	 	1Cor 7.35-8.7	Mt 15.29-31
